finalWorth,personName,age,country,industries,selfMade,status,gender,gdp_country,total_tax_rate_country,population_country
6900,Ronda Stryker,68,United States,Healthcare,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
6800,Dannine Avara,59,United States,Energy,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
6800,Silvio Berlusconi & family,86,Italy,Diversified,TRUE,D,M,"$2,001,244,392,042 ",59.1,60297396
6800,Denise Coates,55,United Kingdom,Gambling & Casinos,TRUE,U,F,"$2,827,113,184,696 ",30.6,66834405
6800,Scott Duncan,40,United States,Energy,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
6800,Milane Frantz,53,United States,Energy,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
6800,"Edward Johnson, IV.",58,United States,Finance & Investments,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
6800,Yuri Milner,61,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
6800,Gordon Moore,94,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
6800,John Overdeck,53,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6800,David Siegel,61,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6800,Viktor Vekselberg,65,Russia,Diversified,TRUE,U,M,"$1,699,876,578,871 ",46.2,144373535
6800,Wang Laisheng,58,China,Technology,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
6800,Randa Duncan Williams,61,United States,Energy,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
6700,Ken Fisher,72,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6700,Christopher Hohn,56,United Kingdom,Finance & Investments,TRUE,D,M,"$2,827,113,184,696 ",30.6,66834405
6700,Kjeld Kirk Kristiansen,75,Denmark,Manufacturing,FALSE,D,M,"$348,078,018,464 ",23.8,5818553
6700,Sofie Kirk Kristiansen,47,Denmark,Manufacturing,FALSE,D,F,"$348,078,018,464 ",23.8,5818553
6700,Thomas Kirk Kristiansen,44,Denmark,Manufacturing,FALSE,D,M,"$348,078,018,464 ",23.8,5818553
6700,Massimiliana Landini Aleotti & family,80,Italy,Healthcare,FALSE,U,F,"$2,001,244,392,042 ",59.1,60297396
6700,Li Ping,55,China,Automotive,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
6700,Lin Jianhua,60,China,Manufacturing,TRUE,Split Family Fortune,M,"$19,910,000,000,000 ",59.2,1397715000
6700,Magdalena Martullo-Blocher,54,Switzerland,Manufacturing,FALSE,D,F,"$703,082,435,360 ",28.8,8574832
6700,Xavier Niel,55,France,Telecom,TRUE,D,M,"$2,715,518,274,227 ",60.7,67059887
6700,Terrence Pegula,72,United States,Energy,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6700,"Edward Roski, Jr.",84,United States,Real Estate,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
6700,John A. Sobrato & family,83,United States,Real Estate,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6700,George Soros,92,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
6700,David Sun,71,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6700,Agnete Kirk Thinggaard,39,Denmark,Manufacturing,FALSE,D,F,"$348,078,018,464 ",23.8,5818553
6700,John Tu,81,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6700,Xu Shihui,65,China,Food & Beverage,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
6600,Rahel Blocher,47,Switzerland,Manufacturing,FALSE,D,F,"$703,082,435,360 ",28.8,8574832
6600,Bubba Cathy,68,United States,Food & Beverage,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
6600,Dan Cathy,70,United States,Food & Beverage,FALSE,U,M,"$21,427,700,000,000 ",36.6,328239523
6600,Trudy Cathy White,67,United States,Food & Beverage,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
6600,Bruce Kovner,78,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6600,"Henry Nicholas, III.",63,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6600,Nadia Thiele,47,Germany,Finance & Investments,FALSE,U,F,"$3,845,630,030,824 ",48.8,83132799
6500,David Bonderman,80,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6500,Melinda French Gates,58,United States,Technology,FALSE,U,F,"$21,427,700,000,000 ",36.6,328239523
6500,Annette Lerner & family,93,United States,Real Estate,FALSE,N,F,"$21,427,700,000,000 ",36.6,328239523
6500,David Reuben,84,United Kingdom,Real Estate,TRUE,D,M,"$2,827,113,184,696 ",30.6,66834405
6500,Radovan Vitek,51,Switzerland,Real Estate,TRUE,U,M,"$703,082,435,360 ",28.8,8574832
6400,Carl Bennet,71,Sweden,Finance & Investments,TRUE,D,M,"$530,832,908,738 ",49.1,10285453
6400,Stephen Bisciotti,62,United States,Sports,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6400,Stanley Druckenmiller,69,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
6400,Jian Jun,59,China,Healthcare,TRUE,U,F,"$19,910,000,000,000 ",59.2,1397715000
6400,Alexei Kuzmichev,60,France,Energy,TRUE,U,M,"$2,715,518,274,227 ",60.7,67059887
6400,Luis Carlos Sarmiento,90,Colombia,Finance & Investments,TRUE,D,M,"$323,802,808,108 ",71.2,50339443
6400,Dennis Washington,88,United States,Logistics,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
6300,Anthony Bamford & family,77,United Kingdom,Construction & Engineering,FALSE,U,M,"$2,827,113,184,696 ",30.6,66834405
6300,Gao Jifan & family,58,China,Energy,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
6300,John Grayken,66,United Kingdom,Finance & Investments,TRUE,D,M,"$2,827,113,184,696 ",30.6,66834405
6300,Alain Merieux & family,85,France,Healthcare,FALSE,D,M,"$2,715,518,274,227 ",60.7,67059887
6300,Wang Yusuo & family,59,China,Energy,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
6300,Stef Wertheimer & family,96,Israel,Manufacturing,TRUE,U,M,"$395,098,666,122 ",25.3,9053300
6200,Maria Asuncion Aramburuzabala & family,59,Mexico,Food & Beverage,FALSE,E,F,"$1,258,286,717,125 ",55.1,126014024
6200,Gustaf Douglas,85,Sweden,Diversified,TRUE,D,M,"$530,832,908,738 ",49.1,10285453
